801,968,229,363,375,348,583,393,7,15,403,2120,1604,2862,2310,6,1379,305,256,31,478,193,24,66,359,499,444,314,742,490,653,839,426,4472,5960,457,793,8794,34108,751,1170,425,718,125,303,584,1987,395,454,282,333,1298,16167,187,156,970,232,561,30,819,2246,2448,1817,1160,192,1413,469,777,427,179,547,85,3409,766,67,1283,981,346,298,406,362,48
889,968,263,383,405,383,626,422,12,15,537,2414,1830,3083,2553,6,1461,508,291,44,555,211,59,79,375,527,463,381,820,523,886,895,528,5281,6406,531,905,9876,38225,863,1475,449,858,136,310,716,2099,415,512,367,376,1452,17359,188,162,1061,265,589,30,1053,2553,2737,1918,1266,208,1594,490,808,446,206,644,93,3548,864,85,1412,985,375,357,423,434,48
962,1074,301,413,563,443,638,454,22,16,574,2614,1949,3368,2945,11,1504,554,307,83,616,249,59,108,381,545,492,441,891,583,1126,932,711,5586,7441,577,1028,10896,42281,964,1623,470,900,154,341,847,2248,434,561,450,391,1562,18405,190,186,1199,315,633,103,1053,2984,3030,1956,1405,262,1745,497,861,463,270,793,93,3671,997,120,1526,986,397,393,481,590,48
1019,1180,366,442,563,443,647,494,49,26,644,2909,1987,3754,3382,13,1584,649,323,119,653,249,79,109,398,573,524,494,965,621,1692,975,882,6907,8249,622,1291,11810,47028,1055,1907,484,1108,155,380,992,2527,453,617,513,418,1719,19642,194,247,1371,345,692,203,1132,3416,3403,2234,1484,266,2280,476,947,486,295,896,93,3792,1164,161,1675,987,445,459,531,731,50
1085,1249,408,442,633,532,647,552,108,45,678,3234,2177,4014,3626,14,1654,657,368,164,707,318,79,149,407,589,562,585,1060,676,2034,995,1070,7655,9032,652,1451,12927,52166,1173,2199,533,1283,166,390,1093,2751,466,666,588,457,1884,20608,207,266,1493,381,780,432,1264,3903,3736,2742,1578,273,2560,479,1087,503,356,1071,151,3915,1301,215,1788,988,457,490,570,731,50
1134,1372,453,483,633,573,656,573,168,47,714,3446,2318,4283,4101,20,1685,657,387,221,790,362,115,195,414,614,593,656,1155,731,2500,1019,1237,8269,9884,672,1814,14075,56955,1288,2446,580,1379,179,391,1214,2973,482,723,646,465,2038,21636,224,317,1595,457,834,601,1450,4255,4160,3157,1779,298,2953,488,1228,551,397,1224,151,3998,1348,327,1984,988,492,536,662,845,51
1219,1372,510,496,638,625,661,595,199,78,744,3848,2486,4444,4412,34,1748,729,406,258,918,403,134,195,431,631,614,712,1211,742,3087,1057,2368,8786,10522,762,2108,14828,61048,1437,2665,681,1487,195,395,1377,3233,501,763,707,475,2178,23047,234,332,1715,505,948,832,1450,4578,4470,3362,2053,328,4341,489,1291,565,440,1307,162,4085,1404,421,2090,988,508,580,735,845,71
1318,1422,583,496,638,637,670,622,238,129,778,4272,2611,4640,4847,93,1844,729,422,399,1020,437,163,255,444,657,631,789,1313,815,3856,1089,2692,9616,11276,802,2244,15921,65110,1559,2866,700,1487,213,405,1509,3399,538,811,796,498,2401,24809,254,367,1936,546,1074,976,1553,5716,4814,3459,2222,352,5255,498,1398,587,518,1318,303,4176,1489,479,2271,988,532,648,769,944,71
1363,1450,715,527,831,637,680,627,266,158,857,4603,2728,4862,5204,100,1933,819,480,499,1119,476,236,284,465,671,660,866,1414,893,4634,1122,3034,10178,11728,856,2459,16604,69391,1661,3104,714,1744,234,417,1687,3471,557,859,867,514,2604,27015,265,390,2116,629,1324,1260,1627,6835,5115,3640,2472,395,5896,504,1542,609,581,1461,350,4274,1564,618,2489,988,541,695,821,973,203
1416,1566,846,541,1039,653,683,642,313,195,960,4993,2803,5146,5574,160,2002,819,488,672,1183,517,285,293,473,681,693,962,1543,978,5881,1158,3618,10709,12440,899,2737,17767,74192,1711,3379,727,1827,256,424,1889,3573,576,920,949,566,2794,29404,288,411,2419,693,1603,1765,1714,8043,5545,3741,2708,439,6847,513,1611,628,638,1667,439,4355,1626,800,2736,988,547,770,832,985,203
1485,1566,985,545,1039,687,695,670,313,261,1038,5363,2842,5369,5954,202,2027,819,506,1072,1274,578,285,326,492,709,713,1010,1612,1188,7373,1186,4246,11127,13139,944,3182,18826,78545,1933,3629,741,1955,288,440,2142,3750,594,983,1038,568,2931,32330,316,437,2684,727,1831,2336,1794,9055,5971,3741,2775,463,7518,524,1672,662,714,1891,561,4438,1677,1009,2954,989,576,810,852,998,255
1561,1731,1170,556,1039,800,700,684,558,481,1096,5708,2969,5549,6355,247,2172,819,542,1694,1373,621,327,365,516,743,733,1078,1672,1308,9170,1203,4694,11522,13954,1007,3612,19605,82328,2048,4053,768,2110,293,455,2438,4015,611,1032,1105,642,3286,35406,341,445,2816,771,2056,3149,1974,10359,6500,4444,2851,491,9783,531,1848,662,819,2202,699,4514,1715,1228,3291,989,588,842,880,1007,255
1585,1869,1250,564,1151,846,708,706,688,669,1107,6073,3033,5686,6673,354,2271,847,561,2276,1447,687,327,401,537,796,748,1125,1734,1408,10147,1210,5357,11779,15470,1035,3863,20504,86305,2153,4464,834,2348,315,470,2784,4209,617,1084,1159,671,3650,38307,416,469,3155,819,2209,3735,1974,11129,6926,4959,2978,518,10302,539,1991,679,923,2510,860,4594,1757,1569,3510,989,611,879,920,1022,255
1615,1869,1319,575,1151,846,712,725,885,798,1148,6573,3114,5864,6933,499,2414,847,578,2276,1544,760,389,455,546,842,759,1181,1754,1456,12460,1218,6091,12049,15985,1081,4056,21099,90979,2263,4872,862,2619,383,475,3180,4272,625,1134,1209,687,4032,41493,478,478,3764,877,2375,4334,2141,12160,7212,7155,3104,562,11474,545,2131,692,988,2776,1065,4675,1803,1835,3840,989,629,911,936,1034,411
1647,1995,1422,580,1276,915,718,746,1057,1039,1184,8088,3222,6085,7201,598,2505,995,610,5231,1660,861,435,494,560,874,765,1221,1831,1510,15111,1246,6856,12295,16583,1108,4416,21656,95590,2377,5317,976,2758,429,492,3440,4466,641,1186,1238,699,4461,44603,555,493,4033,960,2511,5185,2207,14033,7524,7251,3232,596,12490,553,2285,705,1055,3101,1485,4748,1861,2141,4239,989,650,954,966,1071,411
1674,2396,1467,599,1276,951,727,779,1242,1175,1206,8927,3269,6085,7581,813,2604,995,629,6390,1762,953,479,535,582,890,770,1281,1883,1577,17658,1266,7427,12637,16932,1165,4760,22252,98673,2471,5689,1048,2966,472,508,3843,4657,648,1232,1282,755,4933,47591,664,507,4261,1030,2727,5620,2276,16169,7916,7460,3438,607,13488,559,2478,726,1095,3371,1980,4819,1868,2453,4555,989,654,998,1012,1076,473
1688,2561,1571,608,1547,1003,735,821,1485,1456,1257,9654,3280,6210,7917,960,2782,1016,648,7797,1887,995,527,575,607,925,782,1342,1954,1650,21155,1302,7850,12940,17446,1212,5201,23279,101789,2547,5993,1088,3166,499,517,4218,4820,654,1282,1311,810,5368,50466,742,519,4487,1121,2978,6087,2442,18091,8272,7523,3438,701,14419,592,2597,743,1145,3763,2225,4887,1903,2945,4837,989,656,1025,1038,1088,562
1700,2802,1665,615,1547,1076,749,863,1794,1907,1303,10646,3291,6313,8378,1021,3033,1016,666,9941,2023,995,581,608,632,971,788,1406,2010,1761,24745,1315,8429,13242,18089,1266,5466,24050,104911,2613,6317,1160,3285,529,589,4660,5165,659,1334,1329,822,5861,53181,854,526,4693,1201,3230,6592,2570,19637,8806,7597,3791,805,15627,602,2713,753,1194,4160,2577,4956,1938,3379,5134,989,665,1052,1066,1096,592
